Code,Zone Category,Space Description,Space Category Codes,Source (for internal use),Include in BuildUp Area Calc.?,Include in Gross Area Calc.?,Include in Net Area Calc.?,Include in Gross Floor Area Calc.?,,,,,,,,,,,,,,,,,,,,,,,,,
51,Circulation Areas,Patio,SC_15_35_10,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
52,Circulation Areas,Arcade,SC_15_40_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
53,Hygiene Areas,Bath Room,SC_20_10_10,DM_GIS_BDDS_v5.3,Yes,Yes,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,,,,,,,,,,,,,,,,,,,,,,,,,
54,Hygiene Areas,Wash Room,SC_20_10_15,DM_GIS_BDDS_v5.3,Yes,Yes,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,,,,,,,,,,,,,,,,,,,,,,,,,
55,Hygiene Areas,Shower Room,SC_20_10_20,DM_GIS_BDDS_v5.3,Yes,Yes,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,,,,,,,,,,,,,,,,,,,,,,,,,
56,Hygiene Areas,Ablution Room,SC_20_10_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
57,Hygiene Areas,Female Ablution Room,SC_20_10_30,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
58,Hygiene Areas,Male Ablution Room,SC_20_10_35,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
59,Hygiene Areas,Female Wash Room,SC_20_10_40,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
60,Hygiene Areas,Male Wash Room,SC_20_10_45,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
61,Hygiene Areas,Toilet,SC_20_10_50,DM_GIS_BDDS_v5.3,Yes,Yes,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,,,,,,,,,,,,,,,,,,,,,,,,,
62,Hygiene Areas,Female Toilet,SC_20_10_55,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
63,Hygiene Areas,Male Toilet,SC_20_10_60,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
64,Hygiene Areas,PWD Toilet,SC_20_10_65,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
65,Hygiene Areas,Jacuzzi ,SC_20_15_10,DM_GIS_BDDS_v5.3,Yes,Yes,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,,,,,,,,,,,,,,,,,,,,,,,,,
66,Hygiene Areas,Steam Room,SC_20_15_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
67,Hygiene Areas,Sauna,SC_20_15_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
68,Hygiene Areas,Changing Room,SC_20_20_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
69,Hygiene Areas,Laundry Room,SC_20_20_15,DM_GIS_BDDS_v5.3,Yes,Yes,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,,,,,,,,,,,,,,,,,,,,,,,,,
70,Hygiene Areas,Cupboard,SC_20_20_20,DM_GIS_BDDS_v5.3,Yes,Yes,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,(If(IsOccupiedSpace)=True or (IsHabitableSpace)=True) and (PubliclyAccessible)=False,,,,,,,,,,,,,,,,,,,,,,,,,
71,Hygiene Areas,Linen Room,SC_20_20_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
72,Hygiene Areas,First Aid Room,SC_20_25_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
73,Living Space,Kitchen,SC_25_10_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
74,Living Space,Enclosed Kitchen,SC_25_10_15,BIM_Standards,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
75,Living Space,Open Kitchen,SC_25_10_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
76,Living Space,Cloud Kitchen,SC_25_10_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
77,Living Space,Kitchen-Dinning,SC_25_10_30,BIM_Standards,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
78,Living Space,Living Room,SC_25_15_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
79,Living Space,Sitting Room,SC_25_15_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
80,Living Space,Majlis,SC_25_15_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
81,Living Space,Living-Dinning,SC_25_15_25,BIM_Standards,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
82,Living Space,Dinning Room ,SC_25_20_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
83,Living Space,Dinning Hall,SC_25_20_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
84,Living Space,Bed Room,SC_25_25_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
85,Living Space,Maid Room,SC_25_25_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
86,Living Space,Accommodation Room,SC_25_25_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
